"ASV","group"
"056c9293e56d6064ffbf1f9b08661de1","Others"
"057443e3c70e9223e7da46a912cfc06f","Others"
"05774985c3f6c339a75853f29ffc6e59","Others"
"0577b032208e669f070e8c4e9945e1dc","Others"
"05793c0d8dd03f138f2c7bb4b107705c","Others"
"0580ab552533f6da6f7a3cd5108bce9b","Others"
"0587706c9086850178e157404f334e73","Cryosphere"
"058cd15ec0901ec54dba29c95a65abaa","Others"
"058e9a56a12ef8cf684aebb8e2473b89","Others"
"058eec4dcddef63bf37e823298009b48","Others"
"058f3e7f8b2eb28fd39b038c9ba8f44a","Others"
"0593caf70baf8f5f42a3bc1d5f109e97","Others"
"0594612e403c49ac7a24b649ca363ac9","Others"
"059b66744fefad2c3c5e4a28310cb685","Cryosphere"
"05ab2f2875a0ea3e5ef77fdc47fae674","Others"
"05b1ccb3af5b05d02b8b6db712269e18","Others"
"05b3b623b9567b997c9f4381405b371a","Others"
"05bd2388845310b8e9ea23b3f6c8d90b","Cryosphere"
"05c59b191d422b5b6eb02c2e786463e7","Cryosphere"
"05c93455b5a513ac64a9b369eca422c2","Others"
"05dc3cad86568602f9f2cc051226b703","Others"
"05dd3a828c3159fa9176bc87a936851c","Cryosphere"
"05e46e37abc84f7ccf693b906b9ef8ee","Cryosphere"
"05e4f26572df998f3303afc376a784a9","Others"
"05e82dab8963c00c8ac931f0c4307e77","Cryosphere"
"05f40c0addde13b9f4957598afa9ff06","Others"
"05fafcc76412edec77c53f7dce960fc5","Cryosphere"
"05fd8d3bf0f42a84a8c7af620a2adc07","Cryosphere"
"060058b1b457fbff2ec958c204450d8d","Others"
"060203c377bb1942181b75e56d14ccd3","Others"
"06031cad36e009aeb979f4596baac8c8","Cryosphere"
"0603895c7f12d8c814918f356a6e3952","Others"
"0607b9fb1704f4c7bea0b122bbecf157","Others"
"0609c14ab400f303a6aa9daa410f15f6","Others"
"060bb2630772525118ccb2499c7ba399","Others"
"060ca6efba33cb75e8f289757b732b3c","Others"
"06154b6ae88d1eb9abfc9a90c584944a","Others"
"0617d9c7ccb8076c159ab2fcc1f566c9","Others"
"06185a62f04ad93d8450fee85ecb9241","Others"
"06189cab550ca2285e0dd30b5bf9b28b","Others"
"061bba8347b1baa59a9ef30cde1552a9","Others"
"061d72613a9e253642cbe07041fc85d9","Cryosphere"
"062156372da7b4e094053f8159f88d79","Others"
"0621c9443c63323dd72fe0751343073a","Others"
"0621ebe272e0ea71b7e9afadffca2eae","Cryosphere"
"06259a2bdb95ca2fe7cda64d6f9030a7","Others"
"062626c5188ac8032219a35704de4486","Others"
"06268ee289341ad179b5f9a72a7ec404","Cryosphere"
"0626a9d9459cdfb6f61b547c465ecb9f","Others"
"0627daf956cb83c36cb41f4b295e2f4e","Others"
"062868e5c15cdf2dca5b0f72a6cdbbe9","Others"
"062bc53970455c66848db04980b83ecc","Cryosphere"
"062f177df7b23c5b7e8e3b4e292f4fda","Others"
"062f301c57040c6d126a87db30597649","Others"
"06315268d1b00aad0b7d10b0183842a4","Others"
"063b72aaec06ff08f9a79d2a16674f7f","Others"
"063cf7dd5e21ce75caec81a247f8b8cd","Others"
"0642b85396720fa77c17bfa2199b1196","Others"
"064e4a13928ef398a86b6ff21bac25e7","Others"
"0652f4edbbb8f6d0d5493dfb92d14a96","Others"
"0655792494b8a7f4750e0b65d78ba031","Others"
"0655ff4354617ba073ead6e23c44f1f9","Cryosphere"
"06562b21b040bafaf10750f1f3b299c1","Cryosphere"
"06580b6e66b9b87b9d4572d5b65091ac","Others"
"065ee7aebc0c4222e26dacfb8b2fec32","Others"
"0664a3f578457ca9c3d59560f9ca86a8","Others"
"0665ae335eb80094ee278737e4d717a9","Others"
"06665a2736a7bdf98c122d7a2b9ae2ee","Others"
"0670877dbc5c8822b35c6d855d117c39","Others"
"06738a705b878aecd7eb7f953768f956","Others"
"06754acc21c6593298504d2e6fb16fbe","Others"
"06789818bdc4d99b35a03aef9d08fe91","Others"
"0679e5878f9bc195a2808b6a6355d6ba","Others"
"067cb8d6c6e8c38fb0ec1e4bd3cdf542","Others"
"068678cf37cd00e22574581e32e97d8b","Others"
"06896ba9c9a3f33c7770b5c757af84a9","Others"
"068a01c81394b7dfe7d5597e05cd4f13","Others"
"068c072756ff397442dbbd1b3a9d187a","Shared"
"0695782c47cbd1a3010688cdb06dec42","Others"
"0697e2f9f955c8c72aed8e7f2543251b","Others"
"069c9e836ea4b429173bf2f65a9f842b","Others"
"069d37f09ab1a351fd6e2141928de6ad","Cryosphere"
"06a096363853d492c0cbcdf8b1bc5c64","Others"
"06a3be4af7e4f9e7277d529aea4bf807","Others"
"06a5d04551409618acb70278a683d55d","Cryosphere"
"06aae65de02a8519ead3a7b943d4a91f","Others"
